count,otu,sample,origin_dest,origin,dest,time,species,total,prop
0,C40,LVD,LV_LV,LV,LV,15-Jul,por,10761,0.000
0,C40,LVE,LV_LV,LV,LV,15-Jul,por,7505,0.000
0,C40,MVA,MV_MV,MV,MV,15-Jul,por,4187,0.000
0,C40,MVB,MV_MV,MV,MV,15-Jul,por,6128,0.000
264,C40,MVC,MV_MV,MV,MV,15-Jul,por,3557,0.074
0,C40,MVD,MV_MV,MV,MV,15-Jul,por,4014,0.000
0,C40,MVE,MV_MV,MV,MV,15-Jul,por,5290,0.000
0,C40,HVL,HV_HV,HV,HV,16-Jul,por,30,0.000
0,C40,HVM,HV_HV,HV,HV,16-Jul,por,23,0.000
0,C40,HVN,HV_HV,HV,HV,16-Jul,por,27,0.000
0,C40,HVO,HV_HV,HV,HV,16-Jul,por,10,0.000
0,C40,LVK,LV_LV,LV,LV,16-Jul,por,21,0.000
0,C40,LVL,LV_LV,LV,LV,16-Jul,por,26,0.000
0,C40,LVN,LV_LV,LV,LV,16-Jul,por,35,0.000
0,C40,LVO,LV_LV,LV,LV,16-Jul,por,32,0.000
0,C40,MVE,MV_MV,MV,MV,16-Jul,por,29,0.000
0,C40,MVK,MV_MV,MV,MV,16-Jul,por,52,0.000
0,C40,MVL,MV_MV,MV,MV,16-Jul,por,70,0.000
0,C40,MVM,MV_MV,MV,MV,16-Jul,por,58,0.000
0,C40,MVN,MV_MV,MV,MV,16-Jul,por,21,0.000
5006,summ,HVA,HV_HV,HV,HV,16-Jan,por,,
4197,summ,HVB,HV_HV,HV,HV,16-Jan,por,,
3420,summ,HVC,HV_HV,HV,HV,16-Jan,por,,
6461,summ,HVD,HV_HV,HV,HV,16-Jan,por,,
3410,summ,HVE,HV_HV,HV,HV,16-Jan,por,,
6026,summ,LVA,LV_LV,LV,LV,16-Jan,por,,
6749,summ,LVA,LV_HV,LV,HV,16-Jan,por,,
5034,summ,LVB,LV_LV,LV,LV,16-Jan,por,,
5806,summ,LVB,LV_HV,LV,HV,16-Jan,por,,
5571,summ,LVC,LV_LV,LV,LV,16-Jan,por,,
4919,summ,LVC,LV_HV,LV,HV,16-Jan,por,,
8676,summ,LVD,LV_LV,LV,LV,16-Jan,por,,
4662,summ,LVD,LV_HV,LV,HV,16-Jan,por,,
5644,summ,LVE,LV_LV,LV,LV,16-Jan,por,,
2,summ,LVE,LV_HV,LV,HV,16-Jan,por,,
67,summ,LVE,LV_HV,LV,HV,16-Jan,por,,
6684,summ,MVA,MV_HV,MV,HV,16-Jan,por,,
55,summ,MVA,MV_MV,MV,MV,16-Jan,por,,
6535,summ,MVB,MV_MV,MV,MV,16-Jan,por,,
9993,summ,MVB,MV_HV,MV,HV,16-Jan,por,,
22,summ,MVC,MV_MV,MV,MV,16-Jan,por,,
7630,summ,MVC,MV_HV,MV,HV,16-Jan,por,,
52,summ,MVC,MV_MV,MV,MV,16-Jan,por,,
1460,summ,MVD,MV_HV,MV,HV,16-Jan,por,,
2845,summ,MVD,MV_MV,MV,MV,16-Jan,por,,
3638,summ,MVE,MV_MV,MV,MV,16-Jan,por,,
5464,summ,MVE,MV_HV,MV,HV,16-Jan,por,,
33,summ,HVA,HV_HV,HV,HV,17-Jan,por,,
35,summ,HVB,HV_HV,HV,HV,17-Jan,por,,
42,summ,HVC,HV_HV,HV,HV,17-Jan,por,,
43,summ,HVD,HV_HV,HV,HV,17-Jan,por,,
38,summ,HVE,HV_HV,HV,HV,17-Jan,por,,
79,summ,HVK,HV_HV,HV,HV,17-Jan,por,,
48,summ,HVL,HV_HV,HV,HV,17-Jan,por,,
49,summ,HVM,HV_HV,HV,HV,17-Jan,por,,
43,summ,HVN,HV_HV,HV,HV,17-Jan,por,,
50,summ,HVO,HV_HV,HV,HV,17-Jan,por,,
22,summ,LVA,LV_HV,LV,HV,17-Jan,por,,
39,summ,LVA,LV_LV,LV,LV,17-Jan,por,,
44,summ,LVB,LV_HV,LV,HV,17-Jan,por,,
36,summ,LVB,LV_LV,LV,LV,17-Jan,por,,
31,summ,LVC,LV_HV,LV,HV,17-Jan,por,,
24,summ,LVC,LV_LV,LV,LV,17-Jan,por,,
44,summ,LVD,LV_HV,LV,HV,17-Jan,por,,
39,summ,LVD,LV_LV,LV,LV,17-Jan,por,,
39,summ,LVE,LV_HV,LV,HV,17-Jan,por,,
1,summ,LVE,LV_LV,LV,LV,17-Jan,por,,
66,summ,LVK,LV_HV,LV,HV,17-Jan,por,,
3,summ,LVK,LV_LV,LV,LV,17-Jan,por,,
40,summ,LVL,LV_HV,LV,HV,17-Jan,por,,
50,summ,LVM,LV_HV,LV,HV,17-Jan,por,,
49,summ,LVM,LV_LV,LV,LV,17-Jan,por,,
43,summ,LVN,LV_HV,LV,HV,17-Jan,por,,
32,summ,LVN,LV_LV,LV,LV,17-Jan,por,,
27,summ,LVO,LV_HV,LV,HV,17-Jan,por,,
31,summ,LVO,LV_LV,LV,LV,17-Jan,por,,
50,summ,MVA,MV_HV,MV,HV,17-Jan,por,,
25,summ,MVA,MV_MV,MV,MV,17-Jan,por,,
24,summ,MVB,MV_HV,MV,HV,17-Jan,por,,
27,summ,MVB,MV_MV,MV,MV,17-Jan,por,,
45,summ,MVC,MV_HV,MV,HV,17-Jan,por,,
44,summ,MVC,MV_MV,MV,MV,17-Jan,por,,
54,summ,MVD,MV_HV,MV,HV,17-Jan,por,,
13,summ,MVD,MV_MV,MV,MV,17-Jan,por,,
81,summ,MVE,MV_HV,MV,HV,17-Jan,por,,
28,summ,MVE,MV_MV,MV,MV,17-Jan,por,,
24,summ,MVK,MV_HV,MV,HV,17-Jan,por,,
26,summ,MVK,MV_MV,MV,MV,17-Jan,por,,
54,summ,MVL,MV_HV,MV,HV,17-Jan,por,,
37,summ,MVL,MV_MV,MV,MV,17-Jan,por,,
15,summ,MVM,MV_HV,MV,HV,17-Jan,por,,
48,summ,MVM,MV_MV,MV,MV,17-Jan,por,,
52,summ,MVN,MV_HV,MV,HV,17-Jan,por,,
6,summ,MVN,MV_MV,MV,MV,17-Jan,por,,
34,summ,MVO,MV_HV,MV,HV,17-Jan,por,,
31,summ,MVO,MV_MV,MV,MV,17-Jan,por,,
7893,summ,HVA,HV_HV,HV,HV,15-Jul,por,,
8858,summ,HVB,HV_HV,HV,HV,15-Jul,por,,
6866,summ,HVC,HV_HV,HV,HV,15-Jul,por,,
5676,summ,HVD,HV_HV,HV,HV,15-Jul,por,,
5988,summ,HVE,HV_HV,HV,HV,15-Jul,por,,
5625,summ,LVA,LV_LV,LV,LV,15-Jul,por,,
3779,summ,LVB,LV_LV,LV,LV,15-Jul,por,,
3471,summ,LVC,LV_LV,LV,LV,15-Jul,por,,
10761,summ,LVD,LV_LV,LV,LV,15-Jul,por,,
7505,summ,LVE,LV_LV,LV,LV,15-Jul,por,,
4187,summ,MVA,MV_MV,MV,MV,15-Jul,por,,
6128,summ,MVB,MV_MV,MV,MV,15-Jul,por,,
3557,summ,MVC,MV_MV,MV,MV,15-Jul,por,,
4014,summ,MVD,MV_MV,MV,MV,15-Jul,por,,
5290,summ,MVE,MV_MV,MV,MV,15-Jul,por,,
30,summ,HVL,HV_HV,HV,HV,16-Jul,por,,
23,summ,HVM,HV_HV,HV,HV,16-Jul,por,,
27,summ,HVN,HV_HV,HV,HV,16-Jul,por,,
10,summ,HVO,HV_HV,HV,HV,16-Jul,por,,
21,summ,LVK,LV_LV,LV,LV,16-Jul,por,,
26,summ,LVL,LV_LV,LV,LV,16-Jul,por,,
35,summ,LVN,LV_LV,LV,LV,16-Jul,por,,
32,summ,LVO,LV_LV,LV,LV,16-Jul,por,,
29,summ,MVE,MV_MV,MV,MV,16-Jul,por,,
52,summ,MVK,MV_MV,MV,MV,16-Jul,por,,
70,summ,MVL,MV_MV,MV,MV,16-Jul,por,,
58,summ,MVM,MV_MV,MV,MV,16-Jul,por,,
21,summ,MVN,MV_MV,MV,MV,16-Jul,por,,
