species,colony,time,origin,origin_dest_trt,dest,trt,origin_dest,time_origin_dest_trt,chla,chlaratio,totalchl,totalchlratio,chlloss,tank
gon,G,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,5.898,,7.689,,,B
gon,G,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,1.962,0.381,2.626,0.391,60.851,A
gon,G,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,5.147,,6.709,,,B
gon,G,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,3.313,0.661,4.393,0.672,32.781,A
gon,G,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,5.015,,6.535,,,B
gon,G,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,1.308,0.177,1.671,0.178,82.215,A
gon,G,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,7.405,,9.396,,,B
gon,H,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,3.969,0.64,5.076,0.617,38.334,A
gon,H,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,6.198,,8.232,,,B
gon,H,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,4.324,0.684,5.677,0.694,30.602,A
gon,H,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,6.326,,8.181,,,B
gon,H,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,1.587,0.252,2.089,0.252,74.843,A
gon,H,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,6.302,,8.304,,,B
gon,H,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,2.339,0.496,3.233,0.524,47.584,A
gon,H,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,4.72,,6.168,,,B
gon,H,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,1.996,0.342,2.598,0.331,66.905,A
gon,H,16-Jul,LV,LV_LV_cont,LV,cont,LV_LV,Jul-16_LV_LV_cont,5.832,,7.851,,,B
gon,I,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,4.194,0.681,5.551,0.694,30.577,C
gon,I,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,6.154,,7.995,,,D
gon,I,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,2.893,0.348,3.86,0.381,61.937,C
