site	d	season	n	mean	sd	min	Q1	median	Q3	max	range	avgmin	avgmax	avgrange	avgmean	annualmaxDTR
HV	5/16/16	Winter	96	29.321	0.515	28.82	28.953	29.053	29.619	30.592	1.772					
HV	5/17/16	Winter	96	29.072	0.295	28.39	28.886	29.02	29.352	29.619	1.229					
HV	5/18/16	Winter	96	28.938	0.441	28.258	28.655	28.803	29.185	30.054	1.796					
HV	5/19/16	Winter	96	28.708	0.263	28.027	28.522	28.82	28.92	29.02	0.993					
HV	5/20/16	Winter	96	28.912	0.182	28.588	28.754	28.886	29.119	29.152	0.564					
HV	5/21/16	Winter	96	28.849	0.179	28.555	28.754	28.82	28.953	29.352	0.797					
HV	5/22/16	Winter	96	29.13	0.571	28.291	28.647	29.053	29.519	30.423	2.132					
HV	5/23/16	Winter	96	29.112	0.166	28.754	29.02	29.152	29.252	29.385	0.631					
HV	5/24/16	Winter	96	29.104	0.199	28.886	28.953	29.02	29.285	29.685	0.799					
HV	5/25/16	Winter	96	29.045	0.324	28.555	28.853	28.953	29.202	29.752	1.197					
HV	5/26/16	Winter	96	28.977	0.32	28.423	28.721	28.936	29.285	29.552	1.129					
HV	5/27/16	Winter	96	28.952	0.37	28.258	28.68	28.837	29.185	29.752	1.494					
HV	5/28/16	Winter	96	28.655	0.294	28.093	28.415	28.672	28.961	29.086	0.993					
HV	5/29/16	Winter	96	28.52	0.471	27.567	28.167	28.721	28.886	29.185	1.618					
HV	5/30/16	Winter	96	28.473	0.499	27.501	28.052	28.622	28.853	29.252	1.751					
HV	5/31/16	Winter	96	28.592	0.421	27.632	28.423	28.555	28.853	29.519	1.887					
HV	6/1/16	Winter	96	28.388	0.45	27.665	27.961	28.34	28.696	29.452	1.787	27.86863333	29.07073333	1.2021	28.45233333	
HV	6/2/16	Winter	96	28.375	0.392	27.468	28.209	28.456	28.729	28.886	1.418					
HV	6/3/16	Winter	96	28.844	1.019	27.337	28.291	28.572	29.111	31.302	3.965					
HV	6/4/16	Winter	96	28.704	0.704	27.37	28.316	28.688	28.986	30.154	2.784					
HV	6/5/16	Winter	96	28.632	0.47	27.764	28.357	28.588	28.754	29.819	2.055					
HV	6/6/16	Winter	96	28.455	0.186	28.126	28.324	28.39	28.555	28.886	0.76					
HV	6/7/16	Winter	96	28.34	0.214	27.862	28.126	28.423	28.522	28.655	0.793					
HV	6/8/16	Winter	96	28.547	0.141	28.192	28.489	28.555	28.622	28.787	0.595					
HV	6/9/16	Winter	96	28.665	0.105	28.423	28.588	28.704	28.754	28.82	0.397					
HV	6/10/16	Winter	96	28.647	0.091	28.357	28.588	28.655	28.721	28.82	0.463					
HV	6/11/16	Winter	96	28.735	0.153	28.522	28.622	28.688	28.886	29.02	0.498					
HV	6/12/16	Winter	96	28.664	0.143	28.39	28.588	28.688	28.754	28.92	0.53					
HV	6/13/16	Winter	96	28.659	0.232	28.291	28.489	28.555	28.886	29.152	0.861					
HV	6/14/16	Winter	96	28.545	0.259	28.027	28.382	28.522	28.787	29.02	0.993					
HV	6/15/16	Winter	96	28.849	0.519	28.093	28.555	28.588	29.003	30.255	2.162					
HV	6/16/16	Winter	96	28.574	0.241	27.961	28.456	28.622	28.787	28.886	0.925					
HV	6/17/16	Winter	96	28.716	0.344	27.929	28.522	28.655	28.953	29.385	1.456					
HV	6/18/16	Winter	96	28.606	0.184	28.159	28.489	28.622	28.787	28.886	0.727					
HV	6/19/16	Winter	96	28.692	0.099	28.456	28.622	28.688	28.754	28.886	0.43					
HV	6/20/16	Winter	96	28.658	0.241	28.258	28.522	28.555	28.754	29.285	1.027					
HV	6/21/16	Winter	96	28.305	0.241	27.895	28.126	28.225	28.473	28.986	1.091					
HV	6/22/16	Winter	96	28.08	0.341	27.6	27.764	27.994	28.258	28.853	1.253					
HV	6/23/16	Winter	96	28.125	0.184	27.731	28.027	28.159	28.291	28.357	0.626					
HV	6/24/16	Winter	96	28.21	0.183	27.764	28.085	28.225	28.357	28.522	0.758					
HV	6/25/16	Winter	96	28.202	0.183	27.83	28.06	28.225	28.357	28.522	0.692					
HV	6/26/16	Winter	96	28.065	0.274	27.37	27.895	28.076	28.324	28.489	1.119					
HV	6/27/16	Winter	96	28.188	0.295	27.698	27.986	28.159	28.489	28.787	1.089					
HV	6/28/16	Winter	96	28.106	0.217	27.665	27.928	28.159	28.266	28.423	0.758					
HV	6/29/16	Winter	96	27.962	0.465	26.944	27.698	28.06	28.324	28.655	1.711					
HV	6/30/16	Winter	96	28.032	0.471	26.912	27.797	27.928	28.332	29.252	2.34					
HV	7/1/16	Winter	96	27.914	0.514	26.455	27.764	27.961	28.134	28.953	2.498	27.28131034	28.48303448	1.201724138	27.83017241	
HV	7/2/16	Winter	96	28.225	0.855	26.357	27.912	28.11	28.605	29.853	3.496					
HV	7/3/16	Winter	96	28.014	0.711	26.683	27.633	27.912	28.192	29.953	3.27					
HV	7/4/16	Winter	96	28.079	0.344	27.37	27.862	28.142	28.291	28.721	1.351					
HV	7/5/16	Winter	96	28.056	0.148	27.665	27.961	28.06	28.159	28.357	0.692					
HV	7/6/16	Winter	96	27.981	0.353	27.403	27.756	27.961	28.159	28.92	1.517					
HV	7/7/16	Winter	96	28.056	0.284	27.403	27.895	28.06	28.2	28.588	1.185					
HV	7/8/16	Winter	96	28.159	0.163	27.895	28.06	28.159	28.258	28.589	0.694					
HV	7/9/16	Winter	96	28.069	0.196	27.731	27.928	28.06	28.258	28.456	0.725					
HV	7/10/16	Winter	96	27.956	0.184	27.6	27.821	27.961	28.093	28.258	0.658					
HV	7/11/16	Winter	96	28.252	0.217	27.994	28.06	28.159	28.419	28.804	0.81					
HV	7/12/16	Winter	96	28.03	0.15	27.665	27.912	28.06	28.159	28.258	0.593					
HV	7/13/16	Winter	96	27.958	0.334	27.567	27.665	27.813	28.209	28.655	1.088					
HV	7/14/16	Winter	96	27.888	0.353	27.518	27.616	27.715	28.159	28.754	1.236					
HV	7/15/16	Winter	96	27.677	0.219	27.223	27.518	27.665	27.862	28.06	0.837					
HV	7/16/16	Winter	96	27.867	0.351	27.37	27.616	27.715	28.073	28.605	1.235					
HV	7/17/16	Winter	96	27.772	0.126	27.469	27.665	27.764	27.912	28.011	0.542					
HV	7/18/16	Winter	96	27.749	0.108	27.518	27.665	27.715	27.862	27.961	0.443					
HV	7/19/16	Winter	96	27.592	0.13	27.37	27.469	27.567	27.665	28.011	0.641					
HV	7/20/16	Winter	96	27.905	0.554	27.37	27.468	27.715	28.06	29.402	2.032					
HV	7/21/16	Winter	96	27.723	0.276	27.419	27.518	27.616	27.862	28.506	1.087					
HV	7/22/16	Winter	96	27.55	0.284	27.026	27.358	27.567	27.715	28.159	1.133					
HV	7/23/16	Winter	96	27.527	0.173	27.321	27.419	27.468	27.579	27.961	0.64					
HV	7/24/16	Winter	96	27.545	0.304	27.075	27.321	27.518	27.764	28.258	1.183					
HV	7/25/16	Winter	96	27.564	0.243	27.075	27.407	27.567	27.764	27.961	0.886					
HV	7/26/16	Winter	96	27.447	0.435	26.586	27.075	27.543	27.862	28.06	1.474					
HV	7/27/16	Winter	96	27.513	0.35	26.879	27.223	27.468	27.862	28.258	1.379					
HV	7/28/16	Winter	96	27.486	0.298	26.928	27.26	27.567	27.727	27.961	1.033					
MV	7/13/15	Winter	96	28.576	0.167	28.258	28.456	28.555	28.655	28.953	0.695					
MV	7/14/15	Winter	96	28.435	0.139	28.06	28.357	28.456	28.456	28.754	0.694					
MV	7/15/15	Winter	96	28.374	0.293	27.961	28.159	28.357	28.481	29.053	1.092					
MV	7/16/15	Winter	96	28.305	0.2	27.961	28.159	28.258	28.456	28.655	0.694					
MV	7/17/15	Winter	96	28.295	0.408	27.665	28.06	28.258	28.382	29.252	1.587					
MV	7/18/15	Winter	96	28.24	0.156	27.961	28.159	28.258	28.357	28.456	0.495					
MV	7/19/15	Winter	96	28.259	0.151	28.06	28.159	28.258	28.357	28.555	0.495					
MV	7/20/15	Winter	96	28.279	0.277	27.961	28.06	28.159	28.456	28.953	0.992					
MV	7/21/15	Winter	96	28.182	0.143	27.961	28.06	28.159	28.283	28.555	0.594					
MV	7/22/15	Winter	96	28.107	0.087	27.862	28.06	28.159	28.159	28.258	0.396					
MV	7/23/15	Winter	96	28.015	0.153	27.764	27.862	27.961	28.06	28.357	0.593					
MV	7/24/15	Winter	96	27.947	0.138	27.764	27.862	27.862	28.06	28.357	0.593					
MV	7/25/15	Winter	96	27.924	0.113	27.764	27.862	27.862	27.961	28.159	0.395					
MV	7/26/15	Winter	96	27.837	0.119	27.665	27.764	27.764	27.961	28.06	0.395					
MV	7/27/15	Winter	96	27.796	0.12	27.567	27.764	27.764	27.862	28.06	0.493					
MV	7/28/15	Winter	96	27.698	0.135	27.468	27.665	27.665	27.764	27.961	0.493					
MV	7/29/15	Winter	96	27.644	0.161	27.272	27.567	27.665	27.764	27.961	0.689					
MV	7/30/15	Winter	96	27.598	0.221	27.173	27.468	27.567	27.665	28.159	0.986					
MV	7/31/15	Winter	96	27.557	0.109	27.37	27.468	27.567	27.665	27.764	0.394					
MV	8/1/15	Winter	96	27.657	0.392	27.173	27.468	27.567	27.665	28.655	1.482	27.08467742	27.94909677	0.864419355	27.39425806	4.572
MV	8/2/15	Winter	96	27.479	0.108	27.37	27.37	27.468	27.567	27.764	0.394			2.579		
MV	8/3/15	Winter	96	27.378	0.16	27.075	27.272	27.37	27.468	27.665	0.59					
MV	8/4/15	Winter	96	27.302	0.12	27.075	27.173	27.272	27.468	27.468	0.393					
MV	8/5/15	Winter	96	27.218	0.253	26.781	27.075	27.173	27.468	27.665	0.884					
MV	8/6/15	Winter	96	27.231	0.155	26.977	27.173	27.173	27.297	27.567	0.59					
MV	8/7/15	Winter	96	27.224	0.116	27.075	27.173	27.173	27.272	27.468	0.393					
MV	8/8/15	Winter	96	27.365	0.307	27.075	27.173	27.173	27.567	28.258	1.183					
MV	8/9/15	Winter	96	27.202	0.126	26.977	27.075	27.173	27.272	27.468	0.491					
MV	8/10/15	Winter	96	27.402	0.304	27.075	27.173	27.272	27.567	28.159	1.084					
MV	8/11/15	Winter	96	27.463	0.351	27.173	27.272	27.272	27.493	28.357	1.184					
MV	8/12/15	Winter	96	27.281	0.101	27.075	27.247	27.272	27.37	27.468	0.393					
MV	8/13/15	Winter	96	27.216	0.171	26.977	27.075	27.173	27.272	27.567	0.59					
MV	8/14/15	Winter	96	27.129	0.188	26.781	26.977	27.075	27.272	27.468	0.687					
MV	8/15/15	Winter	96	27.316	0.319	26.977	27.075	27.173	27.493	28.06	1.083					
MV	8/16/15	Winter	96	27.331	0.214	27.075	27.173	27.272	27.395	27.961	0.886					
MV	8/17/15	Winter	96	27.492	0.222	27.173	27.272	27.468	27.665	27.862	0.689					
MV	8/18/15	Winter	96	27.637	0.362	27.272	27.37	27.567	27.788	28.555	1.283					
MV	8/19/15	Winter	96	27.596	0.203	27.37	27.468	27.468	27.788	27.961	0.591					
MV	8/20/15	Winter	96	27.559	0.249	27.272	27.37	27.468	27.788	28.06	0.788					
MV	8/21/15	Winter	96	27.505	0.276	27.075	27.37	27.37	27.665	28.159	1.084					
MV	8/22/15	Winter	96	27.41	0.173	27.173	27.272	27.37	27.567	27.862	0.689					
MV	8/23/15	Winter	96	27.355	0.2	27.075	27.173	27.272	27.468	27.862	0.787					
MV	8/24/15	Winter	96	27.383	0.174	27.173	27.173	27.37	27.567	27.665	0.492					
MV	8/25/15	Winter	96	27.697	0.239	27.37	27.468	27.665	27.862	28.357	0.987					
MV	8/26/15	Winter	96	27.572	0.223	27.272	27.468	27.468	27.764	28.06	0.788					
MV	8/27/15	Winter	96	27.692	0.528	27.173	27.37	27.37	27.887	29.053	1.88					
MV	8/28/15	Winter	96	27.62	0.436	27.075	27.37	27.468	27.764	28.853	1.778					
MV	8/29/15	Winter	96	27.335	0.323	26.879	27.075	27.272	27.567	28.06	1.181					
MV	8/30/15	Winter	96	27.114	0.254	26.781	26.977	27.075	27.198	27.665	0.884					
MV	8/31/15	Winter	96	27.061	0.145	26.781	26.977	27.075	27.173	27.37	0.589					
MV	9/1/15	Winter	96	27.232	0.151	26.977	27.173	27.173	27.37	27.468	0.491	27.21966667	28.57713333	1.357466667	27.6563	
MV	9/2/15	Winter	96	27.271	0.31	26.879	27.075	27.173	27.468	28.06	1.181					
MV	9/3/15	Winter	96	27.387	0.211	27.075	27.173	27.37	27.567	27.862	0.787					
MV	9/4/15	Winter	96	27.444	0.223	27.173	27.272	27.37	27.665	27.862	0.689					
MV	9/5/15	Winter	96	27.375	0.373	26.879	27.075	27.272	27.567	28.258	1.379					
MV	9/6/15	Winter	96	27.302	0.585	26.488	26.879	27.075	27.69	28.555	2.067					
MV	9/7/15	Winter	96	27.507	0.548	26.977	27.075	27.272	27.665	29.152	2.175					
MV	9/8/15	Winter	96	27.66	0.69	26.977	27.173	27.272	27.986	29.452	2.475					
MV	9/9/15	Winter	96	27.14	0.086	26.977	27.075	27.173	27.173	27.272	0.295					
MV	9/10/15	Winter	96	27.12	0.109	26.977	27.075	27.075	27.173	27.37	0.393					
MV	9/11/15	Winter	96	27.153	0.097	26.977	27.075	27.075	27.173	27.37	0.393					
MV	9/12/15	Winter	96	27.288	0.383	26.977	26.977	27.075	27.468	28.258	1.281					
MV	9/13/15	Winter	96	27.119	0.235	26.781	26.977	27.075	27.272	27.567	0.786					
MV	9/14/15	Winter	96	27.121	0.213	26.781	26.977	27.075	27.173	27.567	0.786					
MV	9/15/15	Winter	96	27.226	0.378	26.781	26.977	27.075	27.37	28.258	1.477					
MV	9/16/15	Winter	96	27.091	0.118	26.879	26.977	27.075	27.173	27.468	0.589					
MV	9/17/15	Winter	96	27.228	0.102	27.075	27.173	27.173	27.272	27.468	0.393					
MV	9/18/15	Winter	96	27.303	0.162	27.075	27.173	27.272	27.468	27.665	0.59					
MV	9/19/15	Winter	96	27.516	0.328	27.173	27.272	27.37	27.788	28.258	1.085					
MV	9/20/15	Winter	96	27.526	0.235	27.173	27.37	27.468	27.764	28.06	0.887					
MV	9/21/15	Winter	96	27.894	0.415	27.37	27.468	27.862	28.258	28.655	1.285					
MV	9/22/15	Winter	96	28.175	0.525	27.665	27.764	27.862	28.655	29.252	1.587					
MV	9/23/15	Winter	96	28.518	0.633	27.764	27.961	28.357	28.978	30.054	2.29					
MV	9/24/15	Winter	96	28.572	0.575	27.862	28.233	28.357	28.754	30.154	2.292					
MV	9/25/15	Winter	96	28.348	0.531	27.862	27.862	28.258	28.456	29.652	1.79					
MV	9/26/15	Winter	96	28.755	0.979	27.961	28.06	28.258	29.177	31.268	3.307					
MV	9/27/15	Winter	96	28.613	0.889	27.862	28.06	28.159	28.953	30.862	3					
MV	9/28/15	Winter	96	28.562	0.761	27.764	28.06	28.258	28.853	30.659	2.895					
MV	9/29/15	Winter	96	28.199	0.318	27.764	27.961	28.06	28.382	28.853	1.089					
MV	9/30/15	Winter	96	28.044	0.321	27.665	27.764	27.912	28.357	28.655	0.99					
MV	10/1/15	Winter	96	27.714	0.307	27.37	27.468	27.567	27.961	28.357	0.987	27.31296774	28.4293871	1.116419355	27.69741935	
MV	10/2/15	Winter	96	27.457	0.227	27.075	27.272	27.37	27.665	27.862	0.787					
MV	10/3/15	Winter	96	27.47	0.141	27.272	27.37	27.468	27.567	27.764	0.492					
MV	10/4/15	Winter	96	27.541	0.201	27.272	27.37	27.468	27.665	28.06	0.788					
MV	10/5/15	Winter	96	27.509	0.144	27.37	27.37	27.468	27.567	27.961	0.591					
MV	10/6/15	Winter	96	27.541	0.162	27.272	27.444	27.468	27.665	27.862	0.59					
MV	10/7/15	Winter	96	27.282	0.164	26.977	27.173	27.37	27.37	27.468	0.491					
MV	10/8/15	Winter	96	27.332	0.082	27.173	27.272	27.272	27.37	27.468	0.295					
MV	10/9/15	Winter	96	27.41	0.116	27.272	27.272	27.468	27.468	27.567	0.295					
MV	10/10/15	Winter	96	27.787	0.344	27.468	27.567	27.665	27.986	28.655	1.187					MV had 0 days with >5C fluctuations
MV	10/11/15	Winter	96	27.745	0.279	27.468	27.567	27.665	27.986	28.357	0.889					
MV	10/12/15	Winter	96	27.887	0.237	27.567	27.665	27.961	28.06	28.258	0.691					
MV	10/13/15	Winter	96	27.942	0.216	27.567	27.764	27.961	28.06	28.456	0.889					
MV	10/14/15	Winter	96	28.031	0.252	27.665	27.862	27.961	28.06	28.655	0.99					
MV	10/15/15	Winter	96	27.911	0.145	27.764	27.764	27.862	28.06	28.159	0.395					
MV	10/16/15	Summer	96	27.716	0.149	27.468	27.665	27.665	27.862	28.06	0.592					
MV	10/17/15	Summer	96	27.639	0.149	27.468	27.468	27.665	27.764	27.862	0.394					
MV	10/18/15	Summer	96	27.778	0.24	27.468	27.567	27.665	27.986	28.258	0.79					
MV	10/19/15	Summer	96	27.808	0.205	27.567	27.665	27.764	27.961	28.258	0.691					
MV	10/20/15	Summer	96	27.795	0.314	27.468	27.567	27.665	28.06	28.456	0.988					
MV	10/21/15	Summer	96	27.737	0.336	27.37	27.468	27.567	28.06	28.357	0.987					
MV	10/22/15	Summer	96	27.688	0.362	27.272	27.37	27.468	28.06	28.555	1.283					
MV	10/23/15	Summer	96	27.446	0.393	26.879	27.148	27.37	27.567	28.456	1.577					
MV	10/24/15	Summer	96	27.715	0.475	27.173	27.37	27.468	27.961	28.953	1.78					
MV	10/25/15	Summer	96	27.91	0.865	27.075	27.37	27.567	27.986	30.255	3.18					
MV	10/26/15	Summer	96	27.843	0.585	27.272	27.468	27.567	28.159	29.352	2.08					
MV	10/27/15	Summer	96	27.989	0.834	27.173	27.37	27.665	28.283	30.154	2.981					
MV	10/28/15	Summer	96	28.007	0.968	26.977	27.37	27.567	28.357	30.255	3.278					
MV	10/29/15	Summer	96	27.664	0.528	26.879	27.247	27.665	28.159	28.655	1.776					
MV	10/30/15	Summer	96	27.619	0.209	27.173	27.468	27.567	27.764	27.961	0.788					
MV	10/31/15	Summer	96	27.707	0.271	27.468	27.468	27.567	27.862	28.555	1.087					
MV	11/1/15	Summer	96	27.76	0.347	27.272	27.468	27.715	28.06	28.456	1.184	28.22573333	29.7871	1.561366667	28.77606667	
MV	11/2/15	Summer	96	27.807	0.356	27.37	27.468	27.665	28.06	28.555	1.185					
MV	11/3/15	Summer	96	27.828	0.213	27.567	27.665	27.764	28.06	28.357	0.79					
MV	11/4/15	Summer	96	27.811	0.214	27.567	27.665	27.665	27.961	28.456	0.889					
MV	11/5/15	Summer	96	27.927	0.253	27.665	27.665	27.813	28.159	28.456	0.791					
MV	11/6/15	Summer	96	28.241	0.529	27.665	27.764	28.06	28.481	29.352	1.687					
MV	11/7/15	Summer	96	28.523	0.522	27.961	28.06	28.407	28.655	29.953	1.992					
MV	11/8/15	Summer	96	28.95	0.659	28.258	28.357	28.655	29.477	30.356	2.098					
MV	11/9/15	Summer	96	29.056	0.555	28.456	28.555	28.853	29.352	30.255	1.799					
MV	11/10/15	Summer	96	29.467	0.819	28.555	28.754	29.152	29.978	31.472	2.917					
MV	11/11/15	Summer	96	29.492	0.786	28.754	28.853	29.152	29.853	31.472	2.718					
MV	11/12/15	Summer	96	29.569	0.901	28.853	28.953	29.152	29.777	31.983	3.13					
MV	11/13/15	Summer	96	29.313	0.647	28.655	28.853	29.152	29.452	30.963	2.308					
MV	11/14/15	Summer	96	29.438	0.629	28.555	28.953	29.252	30.054	30.558	2.003					
MV	11/15/15	Summer	96	28.865	0.352	28.258	28.555	28.803	28.978	29.752	1.494					
MV	11/16/15	Summer	96	29.105	0.341	28.655	28.754	29.053	29.252	29.853	1.198					
MV	11/17/15	Summer	96	29.281	0.369	28.853	28.953	29.053	29.652	30.054	1.201					
MV	11/18/15	Summer	96	29.207	0.367	28.754	28.928	29.053	29.552	30.054	1.3					
MV	11/19/15	Summer	96	29.209	0.356	28.655	28.953	29.053	29.552	29.853	1.198					
MV	11/20/15	Summer	96	28.8	0.252	28.06	28.754	28.853	28.953	29.053	0.993					
MV	11/21/15	Summer	96	28.956	0.169	28.754	28.853	28.953	29.053	29.452	0.698					
MV	11/22/15	Summer	96	29.118	0.435	28.655	28.853	28.953	29.252	30.255	1.6					
MV	11/23/15	Summer	96	29.204	0.645	28.258	28.754	28.953	29.352	30.963	2.705					
MV	11/24/15	Summer	96	28.998	0.729	27.961	28.655	28.754	28.978	31.064	3.103					
MV	11/25/15	Summer	96	28.528	0.102	28.258	28.456	28.555	28.555	28.655	0.397					
MV	11/26/15	Summer	96	28.532	0.256	27.961	28.456	28.555	28.555	29.252	1.291					
MV	11/27/15	Summer	96	28.627	0.241	28.357	28.456	28.555	28.655	29.352	0.995					
MV	11/28/15	Summer	96	28.473	0.257	27.862	28.357	28.456	28.655	28.953	1.091					
MV	11/29/15	Summer	96	28.66	0.284	28.159	28.357	28.655	28.953	29.152	0.993					
MV	11/30/15	Summer	96	28.537	0.312	28.159	28.258	28.357	28.779	29.252	1.093					
MV	12/1/15	Summer	96	28.529	0.222	28.258	28.357	28.456	28.754	28.953	0.695	28.26780645	29.84693548	1.579129032	28.8303871	
MV	12/2/15	Summer	96	28.405	0.262	27.961	28.258	28.357	28.58	28.953	0.992			4.572		
MV	12/3/15	Summer	96	28.465	0.321	27.961	28.258	28.357	28.754	29.053	1.092					
MV	12/4/15	Summer	96	28.49	0.446	27.862	27.961	28.456	28.953	29.252	1.39					
MV	12/5/15	Summer	96	28.545	0.421	28.06	28.159	28.357	28.953	29.452	1.392					
MV	12/6/15	Summer	96	28.7	0.484	28.159	28.357	28.555	28.978	29.752	1.593					
MV	12/7/15	Summer	96	28.828	0.582	28.06	28.357	28.555	29.152	30.054	1.994					
MV	12/8/15	Summer	96	28.829	0.722	27.961	28.332	28.555	29.252	30.558	2.597					
MV	12/9/15	Summer	96	29.2	1.208	28.06	28.258	28.655	29.853	32.188	4.128					
MV	12/10/15	Summer	96	29.092	1.094	27.862	28.357	28.655	29.752	31.676	3.814	27.764	32.704	4.128		
MV	12/11/15	Summer	96	28.603	0.466	27.764	28.357	28.555	28.853	29.652	1.888					
MV	12/12/15	Summer	96	28.567	0.415	28.06	28.258	28.456	28.953	29.452	1.392					
MV	12/13/15	Summer	96	28.615	0.363	28.159	28.258	28.506	28.953	29.352	1.193					
MV	12/14/15	Summer	96	28.618	0.338	28.159	28.357	28.555	28.754	29.552	1.393					
MV	12/15/15	Summer	96	28.784	0.55	28.159	28.357	28.555	29.177	29.953	1.794					
MV	12/16/15	Summer	96	28.72	0.364	28.159	28.456	28.655	29.053	29.452	1.293					
MV	12/17/15	Summer	96	28.611	0.224	28.258	28.456	28.555	28.754	29.152	0.894					
MV	12/18/15	Summer	96	28.62	0.227	28.159	28.456	28.655	28.853	28.953	0.794					
MV	12/19/15	Summer	96	29.305	0.765	28.456	28.555	29.152	29.777	31.37	2.914					
MV	12/20/15	Summer	96	29.372	0.712	28.555	28.754	29.102	29.878	31.268	2.713					
MV	12/21/15	Summer	96	29.23	0.621	28.456	28.754	29.053	29.452	30.862	2.406					
MV	12/22/15	Summer	96	29.303	0.704	28.655	28.754	28.953	29.577	31.268	2.613					
MV	12/23/15	Summer	96	29.047	0.324	28.655	28.754	28.953	29.352	29.752	1.097					
MV	12/24/15	Summer	96	29.115	0.28	28.853	28.953	28.953	29.252	29.853	1					
MV	12/25/15	Summer	96	29.308	0.533	28.754	28.853	29.152	29.452	30.558	1.804					
MV	12/26/15	Summer	96	29.029	0.122	28.853	28.953	29.053	29.152	29.252	0.399					
MV	12/27/15	Summer	96	28.859	0.136	28.555	28.754	28.953	28.953	29.053	0.498					
MV	12/28/15	Summer	96	28.451	0.154	28.159	28.357	28.456	28.555	28.853	0.694					
MV	12/29/15	Summer	96	28.878	0.302	28.357	28.655	28.853	29.053	29.552	1.195					
MV	12/30/15	Summer	96	28.854	0.101	28.655	28.754	28.853	28.953	29.053	0.398					
MV	12/31/15	Summer	96	28.77	0.271	28.258	28.63	28.754	29.053	29.152	0.894					
MV	1/1/16	Summer	96	28.653	0.154	28.258	28.655	28.754	28.754	28.754	0.496	28.58151852	30.41318519	1.831666667	29.27355556	
MV	1/2/16	Summer	96	29.035	0.39	28.555	28.754	28.853	29.452	29.752	1.197					
MV	1/3/16	Summer	96	29.122	0.409	28.754	28.754	28.853	29.552	29.953	1.199					
MV	1/4/16	Summer	96	29.332	0.606	28.655	28.853	29.102	29.752	30.558	1.903					
MV	1/5/16	Summer	96	29.594	0.874	28.555	29.053	29.152	30.255	31.574	3.019					
MV	1/6/16	Summer	96	30.002	1.091	28.456	29.252	29.552	30.785	32.394	3.938					
MV	1/7/16	Summer	96	30.091	1.105	28.953	29.352	29.602	30.381	32.704	3.751					
MV	1/8/16	Summer	96	29.349	0.243	28.953	29.252	29.252	29.377	30.154	1.201					
MV	1/9/16	Summer	96	29.689	0.98	28.754	28.953	29.352	29.853	32.086	3.332					
MV	1/10/16	Summer	96	29.701	0.691	29.053	29.152	29.352	29.978	31.268	2.215	27.567	33.014	4.26		
MV	1/11/16	Summer	96	29.709	0.75	29.053	29.152	29.302	30.154	31.472	2.419					
MV	1/12/16	Summer	96	29.62	0.67	28.853	29.053	29.352	29.953	31.166	2.313					
MV	1/13/16	Summer	96	29.439	0.299	29.152	29.252	29.252	29.552	30.255	1.103					
MV	1/14/16	Summer	96	29.409	0.359	28.953	29.152	29.252	29.677	30.154	1.201					
MV	1/15/16	Summer	96	29.059	0.133	28.853	28.953	29.053	29.152	29.252	0.399					
MV	1/16/16	Summer	96	28.848	0.086	28.754	28.754	28.853	28.953	28.953	0.199					
MV	1/17/16	Summer	96	29.053	0.585	27.567	28.655	28.853	29.577	29.953	2.386					
MV	1/18/16	Summer	96	28.94	0.338	28.456	28.655	28.853	29.252	29.552	1.096					
MV	1/19/16	Summer	96	28.854	0.301	28.555	28.555	28.754	29.053	29.552	0.997					
MV	1/20/16	Summer	96	29.087	0.699	28.357	28.555	28.655	29.452	30.862	2.505					
MV	1/21/16	Summer	96	28.983	0.692	28.159	28.456	28.754	29.277	30.659	2.5					
MV	1/22/16	Summer	96	28.517	0.2	28.159	28.456	28.555	28.555	28.953	0.794					
MV	1/27/16	Summer	96	28.982	0.357	28.456	28.754	28.853	29.078	29.853	1.397					
MV	1/28/16	Summer	96	29.038	0.588	28.159	28.555	28.853	29.552	30.154	1.995					
MV	1/29/16	Summer	160	29.731	0.762	28.357	29.053	30.154	30.457	30.558	2.201					
MV	1/30/16	Summer	96	29.305	0.591	28.456	28.754	29.152	29.853	30.356	1.9					
MV	1/31/16	Summer	96	29.244	0.598	28.456	28.655	29.152	29.752	30.255	1.799					
MV	2/1/16	Summer	96	29.73	0.863	28.555	28.853	29.853	30.558	30.963	2.408	28.6722069	30.5057931	1.833586207	29.31948276	
MV	2/2/16	Summer	96	29.657	0.557	28.953	29.252	29.452	30.255	30.862	1.909					
MV	2/3/16	Summer	96	29.146	0.575	28.555	28.754	28.903	29.377	30.862	2.307					
MV	2/4/16	Summer	96	29.038	0.495	28.456	28.555	28.953	29.377	30.154	1.698					
MV	2/5/16	Summer	96	29.244	0.66	28.655	28.754	28.953	29.552	31.166	2.511					
MV	2/6/16	Summer	96	29.206	0.613	28.456	28.754	29.003	29.552	30.862	2.406					
MV	2/7/16	Summer	96	29.722	1.045	28.555	28.754	29.452	30.179	32.704	4.149					
MV	2/8/16	Summer	96	29.909	1.192	28.754	29.152	29.252	30.407	33.014	4.26					
MV	2/9/16	Summer	96	30.09	1.326	28.754	29.053	29.552	30.684	33.326	4.572					
MV	2/10/16	Summer	96	29.616	0.935	28.655	28.953	29.252	30.154	31.778	3.123	28.159	33.326	4.572		
MV	2/11/16	Summer	96	29.625	1.12	28.258	28.655	29.152	30.508	31.676	3.418					
